sucursal,operating_date,day_name,closing_time,captured_time,week_number,pdv_txn_id,order_id,order_type,order_subtype,table_number,party_size,server,terminal,capture_terminal,action,item,modifier,group_type,group,description,is_modifier,quantity,unit_price,unit_price_with_mods,cost_actual,cost_with_mods,cost_ideal,discount,subtotal_ticket,iva_ticket,ieps_ticket,total_ticket,subtotal_item,iva_item,ieps_item,total_item,subtotal_cortesia_cancel,iva_cortesia_cancel,ieps_cortesia_cancel,total_cortesia_cancel,subtotal_anulacion,iva_anulacion,ieps_anulacion,total_anulacion,clave_platillo
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:15:58.207000,2026-01-18 08:14:10.623000,3,223028,1,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,CONCHA VAINILLA,,Alimentos,PAN DULCE,"CONCHA VAINILLA, $208.00 OFF",False,16.0,13.0,13.0,18.5222,18.5222,117.12,0.0,238.89,0.0,19.11,258.0,192.5926,0.0,15.4074,208.0,,,,,,,,,PD001
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:15:58.207000,2026-01-18 08:14:18.960000,3,223028,1,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,CROISSANT NATURAL,,Alimentos,PAN DULCE,"CROISSANT NATURAL, $25.00 OFF",False,1.0,25.0,25.0,47.4739,47.4739,7.7,0.0,238.89,0.0,19.11,258.0,23.1481,0.0,1.8519,25.0,,,,,,,,,PD003
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:15:58.207000,2026-01-18 08:14:22.880000,3,223028,1,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,CROISSANT NATURAL,,Alimentos,PAN DULCE,"CROISSANT NATURAL, $25.00 OFF",False,1.0,25.0,25.0,47.4739,47.4739,7.7,0.0,238.89,0.0,19.11,258.0,23.1481,0.0,1.8519,25.0,,,,,,,,,PD003
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:23:18.293000,2026-01-18 08:22:28.937000,3,223029,2,Restaurant,'-,1,1,Plaza Qin,Terminal 1,Terminal 1,Venta,LATTE 16OZ,,Alimentos,CAFE Y BEBIDAS CALIENTES,"LATTE 16OZ, LECHE DESLACTOSADA LIGHT, $18.00 OFF",False,1.0,72.0,72.0,2.6963,2.6963,36.4754,0.0,62.07,9.93,0.0,72.0,62.069,9.931,0.0,72.0,,,,,,,,,CBC005
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:23:18.293000,2026-01-18 08:22:29.790000,3,223029,2,Restaurant,'-,1,1,Plaza Qin,Terminal 1,Terminal 1,Venta,LATTE 16OZ,LECHE DESLACTOSADA LIGHT,Alimentos,MOD BEBIDAS,LECHE DESLACTOSADA LIGHT,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.07,9.93,0.0,72.0,0.0,0.0,0.0,0.0,,,,,,,,,MB006
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:33:37.720000,2026-01-18 08:32:30.527000,3,223030,3,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,CAPPUCCINO 16OZ,,Alimentos,CAFE Y BEBIDAS CALIENTES,"CAPPUCCINO 16OZ, LECHE ENTERA",False,1.0,90.0,90.0,2.6963,2.6963,37.4128,0.0,204.02,19.31,6.67,230.0,77.5862,12.4138,0.0,90.0,,,,,,,,,CBC003
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:33:37.720000,2026-01-18 08:32:32.060000,3,223030,3,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,CAPPUCCINO 16OZ,LECHE ENTERA,Alimentos,MOD BEBIDAS,LECHE ENTERA,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,204.02,19.31,6.67,230.0,0.0,0.0,0.0,0.0,,,,,,,,,MB005
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:33:37.720000,2026-01-18 08:32:41.893000,3,223030,3,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,ESPRESSO DOBLE,,Alimentos,CAFE Y BEBIDAS CALIENTES,ESPRESSO DOBLE,False,1.0,50.0,50.0,0.0,0.0,0.9374,0.0,204.02,19.31,6.67,230.0,43.1034,6.8966,0.0,50.0,,,,,,,,,CBC009
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:33:37.720000,2026-01-18 08:32:55.113000,3,223030,3,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,TARTALETA DE NUEZ,,Alimentos,REPOSTERIA,TARTALETA DE NUEZ,False,1.0,90.0,90.0,0.537,0.537,22.05,0.0,204.02,19.31,6.67,230.0,83.3333,0.0,6.6667,90.0,,,,,,,,,RE006
Panem - Plaza QIN N,2026-01-18,domingo,2026-01-18 08:44:30.400000,2026-01-18 08:44:10.920000,3,223031,4,Para llevar,'-,,1,Plaza Qin,Terminal 1,Terminal 1,Venta,SHOT ESPRESSO EXTRA,,Alimentos,EXTRAS,SHOT ESPRESSO EXTRA,False,1.0,15.0,15.0,0.0,0.0,0.0,0.0,12.93,2.07,0.0,15.0,12.931,2.069,0.0,15.0,,,,,,,,,EX016
