sucursal,operating_date,day_name,closing_time,captured_time,week_number,pdv_txn_id,order_id,order_type,order_subtype,table_number,party_size,server,terminal,capture_terminal,action,item,modifier,group_type,group,description,is_modifier,quantity,unit_price,unit_price_with_mods,cost_actual,cost_with_mods,cost_ideal,discount,subtotal_ticket,iva_ticket,ieps_ticket,total_ticket,subtotal_item,iva_item,ieps_item,total_item,subtotal_cortesia_cancel,iva_cortesia_cancel,ieps_cortesia_cancel,total_cortesia_cancel,subtotal_anulacion,iva_anulacion,ieps_anulacion,total_anulacion,clave_platillo
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 07:46:02.420000,2026-02-02 07:45:42.603000,6,210270,1,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,ROL DE CANELA,,Alimentos,PAN DULCE,ROL DE CANELA,False,1.0,77.0,77.0,16.1,16.1,57.631,0.0,148.88,12.41,5.71,167.0,71.2963,0.0,5.7037,77.0,,,,,,,,,PD006
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 07:46:02.420000,2026-02-02 07:45:45.120000,6,210270,1,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,MOCHA 16OZ,,Alimentos,CAFE Y BEBIDAS CALIENTES,"MOCHA 16OZ, 1 LECHE DESLACTOSADA LIGHT",False,1.0,90.0,90.0,27.2561,27.2561,36.3817,0.0,148.88,12.41,5.71,167.0,77.5862,12.4138,0.0,90.0,,,,,,,,,CBC007
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 07:46:02.420000,2026-02-02 07:45:45.717000,6,210270,1,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,MOCHA 16OZ,LECHE DESLACTOSADA LIGHT,Alimentos,MOD BEBIDAS,LECHE DESLACTOSADA LIGHT,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.88,12.41,5.71,167.0,0.0,0.0,0.0,0.0,,,,,,,,,MB006
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 08:06:13.693000,2026-02-02 08:04:51.067000,6,210271,2,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,DANES,,Alimentos,PAN DULCE,DANES,False,1.0,75.0,75.0,1.8166,1.8166,4.583,0.0,188.35,15.17,7.48,211.0,69.4444,0.0,5.5556,75.0,,,,,,,,,PD008
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 08:06:13.693000,2026-02-02 08:04:52.880000,6,210271,2,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAFE OLLA REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OLLA REFILL,False,1.0,55.0,55.0,0.0,0.0,3.4299,0.0,188.35,15.17,7.48,211.0,47.4138,7.5862,0.0,55.0,,,,,,,,,CBC020
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 08:06:13.693000,2026-02-02 08:05:13.467000,6,210271,2,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAFE OLLA REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,CAFE OLLA REFILL,False,1.0,55.0,55.0,0.0,0.0,3.4299,0.0,188.35,15.17,7.48,211.0,47.4138,7.5862,0.0,55.0,,,,,,,,,CBC020
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 08:06:13.693000,2026-02-02 08:05:16.503000,6,210271,2,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CONCHA VAINILLA,,Alimentos,PAN DULCE,CONCHA VAINILLA,False,1.0,26.0,26.0,2.05,2.05,7.32,0.0,188.35,15.17,7.48,211.0,24.0741,0.0,1.9259,26.0,,,,,,,,,PD001
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 08:11:24.873000,2026-02-02 08:08:17.117000,6,210272,3,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAFE REFILL,,Alimentos,CAFE Y BEBIDAS CALIENTES,"CAFE REFILL, 1 REGULAR",False,1.0,55.0,55.0,0.0,0.0,2.368,0.0,205.84,21.38,5.78,233.0,47.4138,7.5862,0.0,55.0,,,,,,,,,CBC001
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 08:11:24.873000,2026-02-02 08:08:17.633000,6,210272,3,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CAFE REFILL,REGULAR,Alimentos,MOD BEBIDAS,REGULAR,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,205.84,21.38,5.78,233.0,0.0,0.0,0.0,0.0,,,,,,,,,MB002
Panem - Hotel Kavia N,2026-02-02,lunes,2026-02-02 08:11:24.873000,2026-02-02 08:08:26.057000,6,210272,3,Restaurant,'-,20,1,Panem Kavia,Terminal 1,Terminal 1,Venta,CONCHA VAINILLA,,Alimentos,PAN DULCE,CONCHA VAINILLA,False,1.0,26.0,26.0,2.05,2.05,7.32,0.0,205.84,21.38,5.78,233.0,24.0741,0.0,1.9259,26.0,,,,,,,,,PD001
